ime,lokacija,datum,cena
Maine Coon z rodovnikom / MCO,"Ig, Ig",22.05.2023,Cena po dogovoru
Dolgodlaki muc išče družino,"Hrastnik, Hrastnik",19.05.2023,150 €
"Eksot, perzijanec","Koper, Šalara",19.05.2023,Cena po dogovoru
Britanka - britanska kratkodlaka mačka - mladički - rezervacije,"Ljubljana, Podlipoglav",18.05.2023,550 €
Britanec,"Slovenske Konjice, Slovenske Konjice",23.05.2023,250 €
Sphynx mladiči,"Ljubljana Center, Center",23.05.2023,600 €
Pija išče nov dom,"Trebnje, Repče",23.05.2023,0 €
Gari išče nov dom,"Trebnje, Repče",23.05.2023,0 €
Negra išče nov dom,"Trebnje, Repče",23.05.2023,0 €
Britanke modre,"Maribor, Tabor",23.05.2023,500 €
MAČJI MLADIČI,"Murska Sobota, Bakovci",23.05.2023,0 €
sijamske mucke,"Ajdovščina, Lokavec",23.05.2023,150 €
Britanka - britanke,"Ljubljana Moste Polje, Vevče",23.05.2023,500 €
Mali mucki,"Murska Sobota, Bakovci",22.05.2023,0 €
Britanec za parjenje,"Maribor, Tabor",22.05.2023,Cena po dogovoru
Maine coon mladicki,"Medvode, Verje",22.05.2023,Cena po dogovoru
Mainecoon,"Radovljica, Radovljica",22.05.2023,Cena po dogovoru
Maine Coon z rodovnikom / MCO,"Ig, Ig",22.05.2023,Cena po dogovoru
"Britanci, Britanka / Britanska mačka","Litija, Litija",22.05.2023,Cena po dogovoru
"Selkirk rek, Scottish fold","Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",22.05.2023,Cena po dogovoru
Maine coon,"Semič, Gornje Laze",22.05.2023,380 €
"Ragdoll mlade muce mešanke /muca, muc","Laško, Laško",22.05.2023,250 €
Mladi mucki,"Kranj, Kranj",22.05.2023,Cena po dogovoru
Podarim mucka,"Ljubljana, WTC",22.05.2023,0 €
Maine coon mladički,"Slovenj Gradec, Slovenj Gradec",21.05.2023,Cena po dogovoru
britanka kratkodlaka mačka,"Ormož, Ormož",21.05.2023,400 €
Mlade muce,"Rogaška Slatina, Rogaška Slatina",21.05.2023,0 €
Podarim macja mladicka (rezervacija),"Črenšovci, Črenšovci",21.05.2023,0 €
Britanke Dolgodlake,"Mozirje, Mozirje",21.05.2023,100 €
